Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Estonia,EST,..,33.3557746759575,34.225445121683,33.8862899889496,36.1546658916653,36.2940622800076,35.0517550548566,35.6252402420838,36.1159708947234,41.0923262210767,37.7205686655899,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Ethiopia,ETH,16.0852482366578,..,10.2119139511192,9.55243367655399,10.3776370135472,10.0892965416291,11.232503563404,10.8174753935638,9.70541337731808,8.41226929167816,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Fiji,FJI,23.9565656565657,..,24.3834617971389,25.480914686742,26.3230101617776,25.3275491706505,25.3702932755711,28.0255867196907,26.7765008094921,30.2001691677622,34.6299698914385,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Finland,FIN,28.1553308351761,33.9067149411472,40.0898586048424,40.5525454694848,40.4243442060695,39.5843102639782,37.8973137546895,37.408657511715,37.0185693201811,41.2501365328225,39.8521113833531,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,France,FRA,38.9491317605437,44.1329000361832,48.119369598085,48.2894176805372,47.9919779188076,47.8819262450825,47.7079907123412,46.7732066858883,46.3024611970209,52.032985510734,49.9017941756269,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Gabon,GAB,..,..,16.330781875643,15.2532453291979,17.1851872348986,17.0854995180674,15.6674947805283,13.6976362674135,13.5418676122117,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,"Gambia, The",GMB,17.1600695336857,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Georgia,GEO,..,15.0783538250236,25.070733848376,26.7414214111297,28.1877118019744,29.2485210402947,27.2432878002826,24.1294725938017,24.5976592948629,29.3165350782868,27.5311415790789,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Germany,DEU,24.6856870424495,31.3132203936295,28.5460010315329,28.0521822895851,27.9881897309479,27.902920178388,28.0782392046915,27.9221203702328,28.3871924359248,32.5894233621011,33.465787464427,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Ghana,GHA,..,..,19.2811347818803,18.2035083552589,17.3642997310271,18.2895855621062,17.3552401268784,17.6018477434087,17.5109448878289,21.8835544057028,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Greece,GRC,42.2902882976528,42.8468439986057,60.2970641475374,48.9894895830856,51.5170299646372,48.5041976415305,47.6282619580863,47.9444833090845,47.0654086410269,58.4126621152697,55.5636267624546,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Expense (% of GDP),GC.XPN.TOTL.GD.ZS,Guatemala,GTM,9.1312650775244,10.9399955148495,13.0330962185914,13.0102013940753,12.5301725858538,12.6562872261778,12.8125090898112,12.8985140326823,12.9878421878842,14.9101705160475,13.2660847034251,..
